63  ,47  ,55  ,2   ,0   ,-2  ,6   ,14  ,
-34 ,-15 ,11  ,-25 ,-7  ,-8  ,-2  ,-36 ,
-31 ,-35 ,-85 ,-9  ,-7  ,-9  ,-15 ,14  ,
65  ,-2  ,33  ,10  ,8   ,3   ,-7  ,2   ,
1   ,-32 ,-55 ,3   ,-7  ,-12 ,-21 ,14  ,
-63 ,-32 ,-16 ,-8  ,-3  ,0   ,-7  ,23  ,
-40 ,12  ,15  ,-14 ,2   ,5   ,5   ,-27 ,
25  ,-32 ,45  ,-39 ,-3  ,5   ,3   ,-11 ,
110 ,31  ,36  ,6   ,-6  ,-6  ,43  ,13  ,
-113,-34 ,-13 ,-10 ,-5  ,-6  ,0   ,22  ,
20  ,-13 ,-22 ,-6  ,2   ,-1  ,-1  ,-19 ,
-39 ,35  ,7   ,22  ,-6  ,-5  ,-13 ,-71 ,
3   ,-7  ,-21 ,-13 ,1   ,5   ,28  ,55  ,
-29 ,8   ,58  ,9   ,13  ,23  ,46  ,77  ,
78  ,41  ,13  ,5   ,-1  ,2   ,17  ,47  ,
8   ,8   ,-25 ,2   ,4   ,8   ,25  ,7   ,
4   ,-25 ,23  ,-25 ,-7  ,-8  ,19  ,-1  ,
55  ,-12 ,5   ,-4  ,8   ,25  ,52  ,62  ,
32  ,19  ,71  ,-11 ,-6  ,-10 ,-26 ,-51 ,
113 ,-7  ,20  ,23  ,9   ,10  ,16  ,56  ,
96  ,21  ,-18 ,-14 ,-6  ,-4  ,25  ,26  ,
-4  ,40  ,20  ,-42 ,-13 ,-8  ,-8  ,-24 ,
-60 ,-24 ,3   ,23  ,9   ,11  ,8   ,41  ,
-51 ,0   ,1   ,-8  ,4   ,9   ,16  ,57  ,
-4  ,37  ,-14 ,-23 ,0   ,-3  ,13  ,7   ,
127 ,17  ,37  ,-8  ,-2  ,-3  ,-13 ,-1  ,
46  ,92  ,36  ,-23 ,-6  ,-19 ,-95 ,-114,
-39 ,-61 ,-20 ,11  ,-4  ,-1  ,23  ,11  ,
127 ,36  ,15  ,16  ,6   ,6   ,44  ,-5  ,
40  ,29  ,30  ,19  ,4   ,5   ,17  ,-7  ,
-8  ,19  ,-11 ,-2  ,6   ,8   ,-18 ,0   ,
20  ,62  ,37  ,20  ,5   ,-1  ,-25 ,6   ,
-4  ,2   ,-34 ,-16 ,-10 ,3   ,11  ,-8  ,
-6  ,-39 ,-118,-58 ,-5  ,-6  ,76  ,-16 ,
6   ,9   ,-97 ,-15 ,-3  ,-5  ,-11 ,-12 ,
-29 ,2   ,2   ,-15 ,0   ,3   ,-9  ,64  ,
29  ,21  ,62  ,23  ,-2  ,-8  ,-16 ,2   ,
57  ,-7  ,13  ,32  ,-1  ,-5  ,8   ,-12 ,
84  ,-29 ,11  ,-23 ,-7  ,-6  ,-26 ,-58 ,
-112,-4  ,41  ,2   ,-4  ,-5  ,-15 ,44  ,
-40 ,-13 ,-26 ,0   ,6   ,1   ,-43 ,-19 ,
46  ,7   ,-26 ,-13 ,-2  ,1   ,4   ,-38 ,
-42 ,7   ,17  ,14  ,-3  ,-3  ,13  ,4   ,
-36 ,-11 ,-28 ,12  ,5   ,-4  ,-36 ,-33 ,
-5  ,-11 ,24  ,20  ,7   ,5   ,3   ,-13 ,
-44 ,31  ,16  ,-18 ,-6  ,-10 ,-17 ,-3  ,
74  ,-3  ,-30 ,-11 ,-5  ,-4  ,-2  ,1   ,
77  ,9   ,-37 ,-25 ,0   ,7   ,13  ,27  ,
24  ,96  ,37  ,3   ,3   ,6   ,4   ,31  ,
9   ,31  ,-22 ,-1  ,-1  ,-4  ,-87 ,-51 ,
9   ,11  ,60  ,8   ,7   ,9   ,27  ,20  ,
-11 ,-41 ,7   ,17  ,1   ,-3  ,-36 ,-39 ,
-14 ,21  ,-5  ,-13 ,1   ,5   ,-8  ,-21 ,
-75 ,-8  ,-1  ,-11 ,0   ,-4  ,-15 ,-14 ,
-34 ,-4  ,43  ,12  ,4   ,5   ,21  ,19  ,
56  ,-5  ,11  ,-18 ,-6  ,-1  ,-3  ,-14 ,
-8  ,-2  ,10  ,-3  ,0   ,1   ,3   ,-5  ,
-15 ,-7  ,-5  ,-12 ,28  ,-6  ,1   ,2   ,
50  ,18  ,50  ,-19 ,13  ,2   ,-14 ,13  ,
-90 ,-10 ,-8  ,16  ,7   ,6   ,7   ,20  ,
-81 ,-11 ,10  ,-31 ,-7  ,1   ,17  ,-2  ,
